ID,TEXT,SOURCE,INTENCAO
1,técnica e preço,search log,"O usuário busca informações sobre a modalidade de licitação ""técnica e preço"", especialmente sobre as condições e justificativas para sua adoção. Isso inclui entender quando a preponderância da técnica sobre o preço é admitida (em casos de complexidade e especificidade técnica, natureza intelectual), as exigências para a ponderação dos critérios (fundamentação, razoabilidade, estudos técnicos), e os riscos de desproporcionalidade ou excessiva valoração da técnica (restrição à competitividade, propostas economicamente desvantajosas, aumento indevido de preço). A informação deve cobrir a necessidade de justificar pesos distintos entre os critérios, a adequação dos critérios de pontuação ao objeto licitado e as exceções para o uso dessa modalidade (evitar em obras usuais sem tecnologia sofisticada)."
2,restos a pagar,search log,"O usuário busca entender o conceito e as regras sobre 'restos a pagar'. Especificamente, o que pode e o que não pode ser inscrito nessa categoria, as condições legais necessárias para sua inscrição, a importância da disponibilidade de caixa, a irregularidade de inscrições baseadas apenas em empenhos, e a ofensa aos princípios da anualidade e razoabilidade quando há prática recorrente de inscrição e rolagem de recursos."
3,aditivo a contrato,search log,"O usuário busca informações sobre aditivos a contratos, especificamente sobre a formalização de termos aditivos, os prazos para sua celebração (antes do fim do contrato original), as condições para alterações contratuais como acréscimos de serviços ou quantitativos, a necessidade de observar preços de mercado e manter descontos para garantir o equilíbrio econômico-financeiro, a possibilidade de prorrogação em casos excepcionais e de emergência, e a justificativa para retenção de pagamentos em caso de indícios de irregularidades em serviços inseridos por aditivo."
4,adesão a ata de registro de preços,search log,"O usuário busca entender os requisitos e condições para a ""adesão a ata de registro de preços"" por órgãos não participantes, também conhecida como ""carona"". Isso inclui a necessidade de justificar detalhadamente as necessidades do órgão aderente, demonstrar a compatibilidade do objeto com a ata, comprovar a vantagem do preço em relação ao mercado e evitar a mera reprodução do plano de trabalho do órgão gerenciador. Deve-se também abranger o planejamento prévio da adesão, o registro dessa intenção e a observância de limites quantitativos máximos estabelecidos no edital. A possibilidade de adesão em editais deve ser motivada e justificada, sendo considerada uma possibilidade anômala e excepcional."
5,sobrepreço e superfaturamento,search log,"O usuário deseja entender as características, métodos de identificação e consequências do sobrepreço e superfaturamento em obras públicas, especialmente rodoviárias. Isso inclui como esses fenômenos são verificados (ex: comparação com o Sistema de Custos Rodoviários - Sicro, análise conjunta de custo direto e BDI, métodos como MLPG e MLPU), as condições que os caracterizam (ex: pagamento acima dos custos previstos, aditivos contratuais), e a responsabilidade das empresas envolvidas (ex: propostas acima do mercado, responsabilização solidária). A busca deve abranger a análise completa do preço contratado em relação aos parâmetros de mercado, sem se limitar a componentes isolados do custo."
6,restrição a competitividade,search log,"O usuário busca entender o que configura uma restrição à competitividade em processos licitatórios. Os resultados devem abranger exigências de habilitação que limitam a participação de licitantes, como a necessidade de vistos locais para capacidade técnica de empresas de fora da federação, exigência de atestados de capacidade técnica para parcelas de menor importância ou com previsão de subcontratação, comprovação de vínculo empregatício de profissionais com a empresa, experiência em tipologia específica de obra ou serviço (a menos que essencial e justificada), documentação com firma reconhecida, garantia de proposta em percentual sobre o total em vez de lotes individuais, ou a exigência de visita técnica em dia e hora únicos. Também deve ser abordado que a restrição à competitividade, como a exigência de atestados de fabricantes para garantia, só é admitida em casos excepcionais e justificados, e que a análise deve considerar o prejuízo efetivo à competitividade, não apenas a cláusula em si. A excessividade em qualificação técnica e na forma de apresentação de documentos contábeis também pode levar à anulação da licitação."
7,acréscimos e supressões,search log,"O usuário busca entender as regras e procedimentos relacionados a acréscimos e supressões em contratos, especificamente como esses ajustes impactam o valor original do contrato e os limites permitidos. É importante que os resultados expliquem que as reduções (supressões) e os aumentos (acréscimos) de quantitativos devem ser calculados separadamente, com base no valor original do contrato, sem compensação entre si. Além disso, deve-se abordar a necessidade de formalização dessas alterações por meio de termos de aditamento e a manutenção do equilíbrio econômico-financeiro do contrato original, mesmo diante dessas modificações."
8,obras e serviços de engenharia,search log,"O usuário busca informações detalhadas sobre os procedimentos e requisitos para licitações de obras e serviços de engenharia. Isso inclui a forma correta de apuração do valor do objeto licitado utilizando sistemas oficiais, a exigência de elaboração de um projeto básico adequado e atualizado, a necessidade de identificar peças técnicas com anotações de responsabilidade e revisores, a proibição de licitar sem previsão de recursos orçamentários, a adequação dos preços contratados aos valores referenciais ou de mercado, a obrigatoriedade de apresentar um orçamento analítico com discriminação do BDI, e a importância de mecanismos eficientes de fiscalização e supervisão da execução contratual. Além disso, busca-se compreender as regras relativas ao projeto básico de obras que envolvam o uso de jazidas de solo, com a necessidade de comprovação de viabilidade e economicidade na utilização de áreas de empréstimo para garantir a precisão dos quantitativos e preços dos serviços de transporte."
9,fiscalizacao de contratos,search log,"O usuário busca informações sobre a fiscalização de contratos administrativos. Os resultados devem cobrir a finalidade da fiscalização (assegurar que a Administração não pague indevidamente, evitar responsabilização subsidiária em contratos de serviços com mão de obra, e manter o ritmo de execução de obras), as responsabilidades do fiscal do contrato (acompanhamento da execução, atesto de entrega/prestação, verificação de despesas trabalhistas e de frequência/horas trabalhadas), e as irregularidades ou deficiências na fiscalização (nomeação de terceiros estranhos à administração, falta de acompanhamento efetivo, e a necessidade de regularização dessas deficiências). O escopo inclui a fiscalização por amostragem ou outros métodos, e a importância de mecanismos eficientes de supervisão e medição."
10,diarias e passagens,search log,"O usuário busca informações sobre a regularidade e as condições para a concessão de diárias e passagens. Os resultados devem cobrir situações em que a concessão é considerada irregular, como viagens em fins de semana para a cidade de origem do beneficiário sem justificativa de interesse público, ou para participação em reuniões de associações sem amparo legal ou comprovação de interesse público. É necessário detalhar a documentação exigida, incluindo bilhetes de passagem, cartões de embarque, e comprovantes de participação em eventos (congressos, seminários, cursos) quando a finalidade da viagem for essa. Deve-se esclarecer que a autorização de viagens irregulares pode gerar responsabilidade solidária para os servidores no débito e multa. Excepcionalmente, a concessão para eventos de associações é possível se houver demonstração objetiva de interesse público."
